slippery as an eel;aalglatt
complicated;kompliziert
compress, compact;komprimieren
conference call, teleconference;Konferenzgespräch (n., -e)
regal;königlich
state of the market;Konjunktur (f., -en)
rival, competitor;Konkurrent (m., -en)
competition;Konkurrenz (f.)
bankruptcy;Konkurs (m., -e)
can, know;können (kann, konnte, gekonnt)
state, declare;konstatieren
consume;konsumieren
buying spree, conspicuous consumption;Konsumrausch (m.)
allocation, quota, contingent;Kontingent (n.)
continued, continuous, uninterrupted;kontinuierlich
bank account;Konto (n., -ten)
monitor, control, check, grade (homework);kontrollieren
convergence;Konvergenz (f.)
conceptualize, draft;konzipieren
coordinate;koordinieren
basket, hamper;Korb (m., ¨-e)
body;Körper (n., --)
correct;korrekt
precious;kostbar
costs, expense (n.);Kosten (pl.)
free of charge;kostenlos
cut costs;kostensenken
cost-cutting program;Kostensenkungsprogramm (n., -en)
cost estimate, quote;Kostenvoranschlag (m., ¨-e)
precious, delicious, excellent;köstlich
costly, expensive;kostspielig
fender;Kotflügel (m.)
vomit, throw up;kotzen
crash, crack;krachen
power, effect;Kraft (f.)
vigorous, energetic;kräftig
forceful;kraftvoll
power station, generator;Kraftwerk (n., -e)
collar;Kragen (m., ¨-)
crow;Krähe (f., -n)
claw, talon;Kralle (f., -n)
shopkeeper;Krämer (m., --)
convulsive, spasmodic, frantic, forced;kramphaft
aggrieve, mortify, offend;kränken
brusque, snappish;kratzbürstig
scratch, scrape, rasp;kratzen
curl one's lip;kräuseln die Lippen
confused, muddled, curly (hair), frizzy;krausen
herb, cabbage;Kraut (n., ¨-er)
cancer, crab;Krebs (m., -e)
cancerous;krebsartig
chalk;Kreide (f.)
screech, squawk, scream, blare;kreischen
cream;Krem (f.)
cruise ship;Kreuzfahrtschiff (n., -e)
intersection;Kreuzung (f., -en)
antsy, jumpy, fidgety;kribbelig
creep, crawl;kriechen (kriecht, kroch, gekrochen)
get, catch (coll.);kriegen
belligerent;kriegführend
crisis;Krise (f., -n)
scrawl, scribble;kritzeln
warped, bent, wry;krumm
arch, curve, bend, crook (v.);krümmen
hunch down or over;krümmen nach unten
convulse with;krümmen sich vor
curvature, bending;Krümmung (f., -en)
crust, scab (wound);Kruste (f., -n)
tub;Kübel (f., -e)
ball, bullet, sphere, globe;Kugel (f., -n)
bullet-proof;kugelfest
spherical;kugelförmig
cow;Kuh (f., ¨-e)
bold, daring, audacious;kühn
miserable, pitiful;kümmerlich
untroubled;kummerlos
mind, look after;kümmern
grief, sorrow;Kümmernis (f., -se)
message, news, tidings;Kunde (f., -n)
customer;Kunde (m., -n)
rally, demonstration;Kundgebung (f., -en)
versed in, expert;kundig
quit, terminate, resign, give notice;kündigen
future, prospective;künftig
artistic, arty, creative;künstlerisch
artificial;künstlich
feat, stunt;Kunststück (n., -e)
hilltop, fingertip;Kuppe (f., -n)
cure of;kurieren von
price-earnings ratio;Kurs-Gewinn-Verhältnis (n., -sse)
curve (n.);Kurve (f., -n)
shorten, pare, curtail, abridge (a quantity);kürzen
shorten (a physical object);kürzer machen
short-term;kurzfristig
transient, ephemeral, short lived;kurzlebig
passing fancy;kurzlebige Schwärmerei (f.)
pastime;Kurzweil (f.)
amusing, diverting;kurzweilig
coast, coastline, seaboard;Küste (f., -n)
puddle, laugh;Lache (f., -n)
smile;lächeln
ridiculous, ludicrous, laughable;lächerlich
load, invite;laden (lädt, ladet, lud, geladen)
store, shop;Laden (m., ¨-)
site, position, situation;Lage (f., -n)
warehouse, camp;Lager (n., --)
stock, inventory;Lagerbestand (m., ¨-e)
lagoon;Lagune (f., -n)
to paralyze;lahm legen
paralyze, disable, lame, hamstring;lähmen
layman;Laie (m., -n)
bed sheet;Laken (n., --)
stage fright;Lampenfieber (n.)
landing point, dock;Landesteg (m.)
national, nationwide;landesweit
fellow countrymen;Landsleute (pl.)
hobo, vagabond, tramp;Landstreicher (m., --)
vagrancy;Landstreicherei (f.)
reach for;langen nach
long term, long run;langfristig
long lasting, long lived;langjährig
long since, long ago;längst
bore, tire;langweilen
protracted, drawn-out, lengthy;langwierig
rag, piece of cloth;Lappen (m., --)
foolish;läppisch
a mere …;läppische
noise (n.);Lärm (m.)
allow, leave;lassen (läßt, ließ, gelassen)
let someone down, leave in the lurch;lassen im Stich
dwarf (v.);lassen klein erscheinen
be persuaded;lassen sich überreden
be heavy, weigh on;lasten
blaspheme, slander;lästern
vexatious, annoying, bothersome;lästig
truck, tractor trailer, lorry;Lastkraftwagen (m., --) LKW
truck;Lastwagon (m., --)
overalls, dungarees;Latzhose (f.)
leaves, foliage;Laub (n.)
lurk, lie in wait for;lauern
career, track;Laufbahn (f., -e)
run, walk;laufen (läuft, lief, gelaufen)
mood, whim, fancy, temper;Laune (f., -n)
moody, petulant;launisch
loud, according to;laut
purport, read, run;lauten
loudspeaker;Lautsprecher (m., --)
avalanche;Lavine (f., -n)
military hospital;Lazarett (n., -e)
Farewell!;Lebe wohl! 
live, be alive;leben
alive, living;lebend
viable, capable of living;lebensfähig
perilous, life-threatening;lebensgefährlich
provisions;Lebensmittel (n.)
lifeblood;Lebensnerv (m.)
lifestyle;Lebensstil (m., -e)
livelihood, living, means of subsistence;Lebensunterhalt (m.)
worldly wisdom;Lebensweisheit (f.)
living creature;Lebewesen (n., --)
farewell, good-bye (n.);Lebewohl (n., -s)
lively, vivacious, animated;lebhaft
lifetime;Lebzeiten (f.)
leak, leakage, seepage;Leck (n., -s)
delicious;lecker
unmarried, single;ledig
merely, only, solely;lediglich
idling (auto), in idle;Leerlauf (m.), im
lay, put;legen
lean, lean against;lehnen
recliner;Lehnstuhl (m., ¨-e)
apprentice, trainee;Lehrling (m., --)
corpse, body;Leiche (f., -n)
pall, shroud;Leichentuch (n., ¨-er)
easy;leicht
suffer;leiden (leidet, litt, gelitten)
passion;Leidenschaft (f., -en)
unfortunately;leider
tiresome, unpleasant;leidig
tolerable, moderate;leidlich
lend, borrow, hire;leihen (leiht, lieh, geliehen)
linen;leinen
gentle, soft, delicate;leise
border, ledge, fillet, groin;Leiste (f., -n)
afford, perform;leisten
lead, guide, manage, oversee;leiten
ladder;Leiter (f., -n)
leader, director;Leiter (m., --)
manual, textbook, guide;Leitfaden (m., ¨-)
reading;Lektüre (f.)
loin;Lende (f., -n)
steer, direct;lenken
learn, study;lernen
read, harvest;lesen (liest, las, gelesen)
after all, when all is said and done;letzten Endes
eventually, ultimately;letztendlich
light, shine;leuchten
bright, shiny, light;leuchtend
beacon, bonfire;Leuchtfeuer (n.)
gainsay, deny, repudiate;leugnen
to be ablaze;lichterloh brennen
light switch;Lichtschalter (m., --)
clearing;Lichtung (f., -en)
adorable, lovable;liebenswert
lovable, genial, likeable;liebenswürdig
rather, prefer;lieber
caress;liebkosen
caress, fondling;Liebkosung (f., -en)
slovenly, negligent, dissolute;liederlich
lyrics;Liedtext (m., -e)
furnish, supply;liefern
promise of delivery;Lieferzusage (f., -n)
lie, rest;liegen (liegt, lag, gelegen)
ally, associate (v.);liieren
fumbling, awkward, unskilled;linkisch 
license;Lizenz (f., -en)
praise;loben
paean, hymn (of praise);Loblied (f.)
loose;locker
blaze;lodern
wages, pay;Lohn (m., ¨-e)
be worthwhile or profitable, pay;lohnen sich
draw lots;losen
loosen, dissolve, break off;lösen
release, relinquish, let loose;loslassen
dart;losstürzen
solution, loosening;Lösung (f., -en)
pilot (n.);Lotse (m., -n)
gap, deficit, omission;Lücke (f., -n)
atmosphere, air space;Luftraum (n.)
lie, fib;lügen (lügt, log, gelogen)
porthole;Luke (f., -n)
lout;Lümmel (m., --)
scoundrel, bounder;Lump (m., -en)
enjoyment, pleasure, desire (n.);Lust (f., ¨-e)
gay, merry;lustig
make no secret of;machen kein Hehl aus
Make yourself comfortable!;Machen Sie es sich bequem! 
mighty, powerful;mächtig
power struggle;Machtkampf (m., ¨-e)
power struggle;Machtkampf (m., ¨-e)
powerless;machtlos
may;mag
lean;mager
mow, cut;mähen
mill, grind;mahlen (mahlt, mahlte, gemahlen)
meal;Mahlzeit (f., -en)
remind, admonish, warn, dun;mahnen
spotless, unblemished, immaculate;makellos
broker;Makler (m., --)
once;mal
painting;Malerei (f.)
Can't complain.;Man muß zufrieden sein. 
someone;mancher
shortage, defect (n.);Mangel (m., ¨-)
lack, be short of;mangeln
manifold, various, diverse;mannigfach
team (n.);Mannschaft (f., -en)
coat (n.);Mantel (m., ¨-)
fairy tale, fable;Märchen (m., --)
core, center, marrow;Mark (n.)
brand, trade name, marker;Marke (f., -n)
brand name, trade name;Markenname (m., -n)
pithy;markhaltig
marble (stone);Marmor (m.)
torture, torment;martern
grain (wood, stone or leather);Maserung (f., -n)
measure, measurement, metric;Maß (n., -e)
copious, plentiful;massenhaft
relevant, applicable, authoritative;maßgeblich
custom, bespoke, tailor-made;maßgeschneidert
moderate, temperate, frugal;mäßig
solid, massive, massy;massiv
excessive, immoderate;maßlos
measure, step, action (n.);Maßnahme (f., -n)
yardstick, benchmark, measure;Maßtab (m.)
media;Medien (pl.)
multiply, increase in numbers;mehren
several;mehrere
repeated;mehrfach
majority;Mehrheit (f., -en)
VAT, value-added tax;Mehrwertsteuer (f.)
plural, majority;Mehrzahl (f.)
avoid, shun;meiden (meidet, mied, gemieden)
for miles and miles;meilenwert
kiln, reactor;Meiler (m., --)
opine, think, mean;meinen
for my part;meinerseits
in my opinion, judgment;meines Erachtens
to my knowledge;meines Wissens
on my account, speaking for myself;meinethalben
on my account, speaking for myself;meinetwegen
opinion;Meinung (f., -en)
exchange of views;Meinungsaustausch (m.)
most used;meistbenutzen
master, cope;meistern
master, cope;meistern
announce, notify;melden
mix;melieren
omen, writing on the wall;Menetekel (n., --)
significant amount;Menge (f., -n)
human being (n.);Mensch (m., -en)
slut, hussy;Mensch (n., -er)
knowledge of human nature;Menschenkenntnis (f.)
human;menschlich
note, perceive, notice;merken
characteristic, feature;Merkmal (n.)
remarkable, strange, weird;merkwürdig
measure;messen (mißt, maß, gemessen)
brass;Messing (n.)
metropolis;Metropole (f., -n)
pack (solves), mob or horde (people);Meute (f., -n)
mutiny;Meuterei (f., -n)
puny, tiny;mickrig
mien, look, countenance;Miene (f., -n)
Milky Way;Milchstraße (f.)
military man, soldier;Militär (m., --)
military, armed forces (n.);Militär (n.)
act, play;mimen
minority, minority group;Minderheit (f., -en)
diminish, lessen;mindern
at least;mindestens
minute-by-minute;minütlich
mix, blend, shuffle;mischen
mishmash, hodgepodge;Mischmasch (n.)
disregard, ignore, disobey;mißachten
misfortune, accident, adversity;Mißgeschick (n.)
fail;mißlingen (mißlingt, mißlang, mißlungen)
disgruntled, morose;mißmutig
jarring, disharmonious, dissonant;misstönend
droppings, dung;Mist (m.)
dunghill;Misthaufen (m.)
by far;mit Abstand
storied;mit Geschichten geschmückt
collaborate, cooperate;mitarbeiten
employee;Mitarbeiter (m., -n)
member, fellow, associate;Mitglied (n., -er)
sympathy, compassion, pity;Mitleid (n.)
compassionate, pitying;mitleidig
pitiless, merciless;mitleidlos
join in, participate in, suffer through;mitmachen
carry along, sweep along, sweep away;mitreißen
communicate, inform, impart;mitteilen
indirect (adj.);mittelbar
penniless, indigent, destitute;mittellos
mediocre, average;mittelmäßig
center, focus;Mittelpunkt (m., -e)
centerpiece, core, center;Mittelstück (n., -e)
meanwhile, meantime;mittlerweile
sometimes;mitunter
contribute, assist, be involved in;mitwirken
be instrumental to, play a part in;mitwirken bei
furniture;Möbel (n., --)
furnished;möbliert
model, shape, mold;modellieren
fad, temporary fashion;Moderscheinung (f., -en)
like, want, may;mögen (mag, mochte, gemmocht)
possible;möglich
possibly, perhaps, maybe;möglicherweise
moment, instant;Moment (m., -e)
momentum, deciding factor;Moment (n., --)
at the moment, just now;momentan
sophisticated;mondän
monopoly;Monopol (n., -en)
monopolize;Monopol erringen
monsoon;Monsun (m.)
morale, morality, ethics;Moral (f.)
"great, fantastic, terrific; terrible";mords
rotten, shaky, decayed;morsch
motorcycle;Motorrad (n., ¨-er)
moth;Motte (f., -n)
moth-eaten;mottenzerfressen
seagull;Möwe (f., -n)
musty, stuffy, grumpy;muffig
worth the effort, worth the trouble;Mühe wert sein (f.)
exert, toil, take pains;mühen sich
weariness, fatigue;Mühigkeit (f., -en)
troublesome, laborious;mühsam
trough, depression, hollow;Mulde (f., -n)
rubbish, trash, waste;Müll (m.)
multiply;multiplizieren
responsible, of age, mature;mündig
oral;mündlich
estuary, mouth, muzzle;Mündung (f., -en)
awake, lively, cheerful;munter
coin;Münze (f., -n)
murmur, mumble;murmeln
grumble, growl;murren
morose, sullen, sulky;mürrisch
puree, hash, mush;Mus (n., -e)
musician;Musikant (m., -en)
have to, must;müssen (muß, mußte, gemußt)
idler;Müßiggänger (m., --)
pattern (n.);Muster (n., --)
brave;mutig
dispirited, discouraged, crestfallen;mutlos 
surmise, allege, conjecture;mutmaßen
assumed, alleged, supposed;mutmaßlich
bonnet, cap;Mütze (f.)
Uh, uh! No way!;Na, na! 
well, so what!;Na, wenn schon! 
fish for compliments;nach Komplimenten haschen
mimic, copy, imitate, pantomime;nachahmen
imitation, knock-off;Nachahmung (f., -en)
neighborhood;Nachbarschaft (f.)
after (conj. only);nachdem
think about, ponder, reflect;nachdenken
emphasis, stress, reprint (n.);Nachdruck (m., -e)
reprint;nachdrucken
emphatic, with emphasis;nachdrücklich
dinghy, small boat;Nachen (m., --)
subsequent, consequent;nachfolgend
enquiry, demand;Nachfrage (f.)
relent, give way, soften, compromise;nachgeben
follow, pursue (e.g., a hobby), lose;nachgehen
yielding, indulgent, pliable;nachgiebig
lasting, sustainable;nachhaltig
catch up on, make good for;nachholen
descendents;Nachkommen (pl.)
leave behind, discount, abate, subside;nachlassen
negligent, remiss, careless;nachlässig
news, information, message;Nachricht (f., -en) 
lenient, forbearing;nachsichtig
muse, contemplate, cogitate, speculate;nachsinnen
disadvantage, drawback, penalty;Nachteil (m., -e)
nightingale;Nachtigall (f., -en)
aftermath;Nachwehen (pl.)
prove, establish;nachweisen
neck, nape;Nacken (m., --)
brand new;nagelneu
nearby, adjacent;nahegelegen
sew, stitch;nähen
approach, near, converge, approximate;nähern sich
nearly, almost;nahezu
nourish, feed;nähren
nutritious, nourishing;nahrhaft
food, nourishment;Nahrung (f., -en)
nameless, anonymous;namenlos
namely, viz;nämlich
Oops! Good heavens!;Nanu! 
scar;Narbe (f., -n)
fool (n.);Narr (m., -en)
folly;Narrheit (f.)
nibble;naschen
wet (v.);nässen
near by, besides;neben
minor point or matter, incidental fact;Nebensache (f., -n)
inconsequential, incidental, unimportant;nebensächlich
take;nehmen (nimmt, nahm, genommen)
be satisfied with;nehmen vorlieb mit
envy;Neid (m.)
envious;neidisch
tend;neigen
No! By no means!;Nein, durchaus nicht! 
name, call;nennen (nennt, nennte, genannt)
noteworthy, appreciable;nennenswert
denomination, nominal value;Nennwert (m., -e)
nerve;Nerv (m., -en)
nervous;nervös
marked to market;neu bewertet
rewrite, re-type;neu schreiben
curious, inquisitive;neugierig
realignment, reorganization;Neuordnung (f., -en)
not only … but also;nicht nur … sondern auch
not as common;nicht so ohne weiteres
disuse, non-use;Nichtgebrauch (m.)
Nothing doing!;Nichts zu machen! 
featureless, vacuous, meaningless;nichtssagend
nod, beck;nicken
nap, snooze, short sleep (n.);Nickerchen (n., --)
never;nie
lower;nieder
lowest;niederigst
defeat (n.);Niederlage (f., -n)
low, perfidious, base, evil;niederträchtig
nice, neat, pretty, cute;niedlich
low;niedrig
sneeze;niesen
sip, nip;nippen
nowhere;nirgends
standard, level;Niveau (n.)
not for a long time yet;noch lange nicht
normally;normalerweise
emergency room or ward;Notaufnahme (f., -n)
emergency;Notfall (m., ¨-e)
necessary;nötig
state of distress, emergency;Notstand (m.)
necessary, essential;notwendig
necessarily, essentially;notwendigerweise
sober, matter-of-fact, realistic, unemotional;nüchtern
Take it easy!;Nur die Ruhe! 
tart, prostitute, hooker;Nutte (f., -n)
useful;nützlich
beneficiary;Nutznießer (m., --)
oasis;Oase (f., -n)
shelter, lodging;Obdach (n.)
homeless (n.);Obdachlose (pl.)
upper bound;obere Schranke
superficial, sketchy, skin-deep;oberflächlich
tribal leader;Oberhirt (m., -en)
thigh;Oberschenkel (m.)
Supreme Court;Obersten Gericht (n.)
although;obgleich
care, custody;Obhut (f.)
although;obschon
orchard;Obstgarten (m., ¨-)
although;obwohl
desolate, bleak;öde
obvious, manifest, evident;offenbar
manifestation, display, revelation;Offenbarung (f., -en)
vacancy, opening;offene Stelle (f., -n)
evident, manifest, patent, obvious;offenkundig
obvious, apparent;offensichtlich
public;öffentlich
public, publicity (n.);Öffentlichkeit (f.)
opening time;Öffnungzeit (f., -en)
often;oftmals
without reason;ohne Anlass
without a doubt;ohne Zweifel
anyhow, anyway;ohnehin
insensible, swooning, unconscious;ohnmächtig
wife (colloquial);Olle (f., -n)
sacrifice, victim;Opfer (n., --)
sacrifice, immolate, offer up;opfern
option;Option (f., -en)
optimism;Optismus (m.)
properly, duly, according to the rules;ordnungsgemäß
gale;Orkan (m., -e)
place, spot;Ort (m.,-e)
local;örtlich
renter, tenant;Pächter (m., --)
package, bale, bundle;Pack (m., ¨-e)
mob, rabble (n.);Pack (n.)
grab, seize, pack, snatch;packen
package;Paket (n., -e)
mishap, breakdown;Panne (f., -n)
cardboard;Pappe (f., -n)
ready;parat
park (v.);parken
password, slogan, watchword;Parole (f., -n)
in no case;partout nicht
fit;passen
Be careful! Look out!;Passen Sie auf! 
happen, take place, pass;passieren
cartridge;Patrone (f., -n)
blanket, global, across-the-board;pauschal
misfortune, bad luck;Pech (n.)
misadventurer, unlucky fellow;Pechvogel (m., -¨)
level, tide gage;Pegel (m.)
anguish, pain, torment;Pein (f., -e)
torment;peinigen
embarrassing, distressing, awkward;peinlich
whip (n.);Peitsche (f., -n)
lash, flog, whip;peitschen
commute, shuttle, oscillate;pendeln
commute (n.);Pendelzeit (f., -en)
sleep, nap;pennen
retirement, pensioning;Pensionierung (f., -en)
passenger car;Personenkraftwagen (m., --) PKW
personal;persönlich
perspective, perspectively;perspektivisch
pestilence, plague, pest;Pest (f.)
post, stake, picket;Pfahl (m., ¨-e)
pan;Pfanne (f., -n)
parson, priest, rector;Pfarrer (m., --)
whistle;pfeifen (pfeift, pfiff, gepfiffen)
stiletto heel;Pfennigabsatz (m., ¨-e)
nursery (plants);Pflanzenschule (f., -n)
maintenance, nurture, care, preservation;Pflege (f.)
nurse, foster;pflegen
duty, obligation;Pflicht (f., -e)
duteous, zealous;pflichteifrig
pluck, pick;pflücken
plow, till;pflügen
gate, door;Pforte (f., -n)
phenomenon;Phänomen (n., -e)
phase, stage;Phase (f., -n)
physical;physisch
inject drugs;pieken
smart, dapper;piekfein
paint brush;Pinsel (m., --)
plead;plädieren
plan (n.);Plan (m., ¨-e)
tarpaulin, tarp;Plane (f., -n)
plan;planen
splash, flounder about in the water;planschen
chatter, chat;plappern
blubber, bawl, cry;plärren
splash;platschen
seat, space;Platz (m., ¨-e)
usher (n.);Platzanweiser (m., --)
burst, explode, blow (tire);platzen
chat;plaudern
dead or flat broke, bust;pleite
sudden;plötzlich
throb, thump;pochen
throb, palpitate, thump;pochen
poetry;Poesie (f.)
polish, finish (n.);Politur (f.)
policeman;Polizist (m., -en)
popular;populär
doorman;Portier (m., -s)
glory, splendor, finery, magnificence;Pracht (f.)
splendid, grand, superb, glorious;prächtig
mint, stamp, coin;prägen
show off, brag about;prahlen
prize, insurance premium, bonus;Prämie (f., -n)
glitter, shine, make a show;prangen
present (v.);präsentieren
presidency;Präsidentschaft (f.)
precise, exact;präzis
preach;predigen
praise, commend;preisen (preist, pries, gepriesen)
prize-winning;preisgekrönt
discount, rebate, allowance;Preisnachlass (m., ¨-e)
prize-winner, laureate;Preisträger (m., --)
cheap, bargain;preiswert
jackhammer;Presslufthammer (m.)
First rate! Great! ;Prima! Großartig! 
prism;Prisma (n., --)
experiment, trial, test;Probe (f., -n)
try, inspect;probieren
producer;Produzent (m., -en)
pro, professional (n.);Profi (m., --)
program;programmieren
celebrity, socialite;Prominenter (m., -en)
protagonist;Protagonist (m., -en)
provoke;provozieren
percentage, rate of interest;Prozentsatz (m., ¨-e)
test, examine;prüfen
take or pass exam or test;Prüfung ablegen (f., -en)
beat up;prügeln
audience;Publikum (n.)
sweater;Pullover (m.)
pulse (n.);Puls (m.)
pulsate, vibrate;pulsieren
pulsing, vibrant;pulsierend
pupil (eye);Pupille (f., -n)
pure;pur
somersault, tumble;Purzelbaum (m., ¨-e)
turn a somersault, flip over;Purzelbaum schlagen (einen)
tumble;purzeln
polish, shine, clean;putzen
agony, torment (n.);Qual (f., -en)
torment, vex;quälen
fumes (from smoke);Qualm (m.)
smolder, fume;qualmen
blather;quasseln
blather;quasseln
well, fountain, source;Quelle (f., -n)
gush, spring from;quellen (quillt, quoll, gequollen)
cross, transverse, diagonal;quer
across;querdurch
squeeze, bruise;quetschen
squeak, squeal;quieken
receipt (v.);quittieren
receipt (n.);Quittung (f., -en)
quota, rate, contingent, proportion;Quote (f., -n)
hooligan, roughneck;Rabauke (m., -n)
revenge (n.);Rache (f.)
avenge;rächen
snatch up, gather up;raffen
refine (as in oil);raffinieren
tower, loom;ragen
project from, rise from;ragen aus
frame (v.);rahmen
framework, context, frame;Rahmen (m., --)
rocket (n.);Rakete (f., -n)
ram (v.);rammen
batter, ram;ramponieren
junk shop;Ramschladen (m., ¨-e)
edge, rim;Rand (m., ¨-e)
border, edge (v.);rändern
rank, grade, order;Rang (m., ¨-e)
go it;rangehen
high-ranking;ranghohe
swift, quick;rasch
rustle, swish;rascheln
lawn, sod, turf;Rasen (m., --)
frantic, frenzied, demoniac;rasend
rage, fury, frenzy, madness;Raserei (f. ,-en)
race (skin color);Rasse (f., -n)
rattle, clank, jangle, clink;rasseln
racial segregation, apartheid;Rassentrennung (f.)
racial;rassisch
racialistic;rassistisch
rest, halt;rasten
screen search;Rasterfahndung (f., -en)
advise, guess;raten (rät, riet, geraten)
ratify;ratifizieren
wise;ratsam
advice, counsel, tip (n.);Ratschlag (m., ¨-e)
riddle, puzzle, enigma, mystery;Rätsel (n., --)
bitter, acrimonious, rough, harsh;rau
rough (weather), coarse, rude;rauh
whisper, murmur;raunen
flush, intoxication, rush, inebriation;Rausch (m.)
whoosh, sweep, rush;rauschen
narcotics, drugs;Rauschgift (n.)
let out;rauslassen
clear one's throat;räuspern sich
react;reagieren
realistically;realistischerweise
vine;Rebe (f., -n)
reckon, calculate, compute;rechnen
calculator, computer;Rechner (m., --)
right, just, real, true;recht
law and order;Recht und Ordnung
justify, legitimate, vindicate, exculpate;rechtfertigen
without rights;rechtlos
on time, in due time, timely, opportune;rechtzeitig
speech, oration;Rede (f., -n)
talk;reden
rant;reden geschwollen
saying, expression, colloquialism;Redensart (f.)
reduce;reduzieren
ship owner;Reeder (m., --)
report, lecture, paper (n.);Referat (n., -e)
reporter, lecturer, expert;Referent (m., -en)
shelf;Regal (n., -e)
regular;regelmäßig
government;Regierung (f., -en)
director (film or play);Regisseur (m., -e)
motionless;reglos
rainy;regnerisch
deer, doe;Reh (n., -e)
rub;reiben (reibt, rieb, gerieben)
pass, reach, hand;reichen
comprehensive, rich;reichhaltig
wealth, opulence;Reichtum (m., ¨-er)
ripen, mature;reifen
tire, hoop;Reifen (m., --)
row, series, sequence, progression;Reihe (f., -n)
arrange in a row, rank;reihen
order, sequence;Reihenfolge (f., -n)
pure, clean;rein
goose chase, disappointment;Reinfall (m., ¨-e)
be unsuccessful;reinfallen
cleanse, purify;reinigen
neat, tidy, clean;reinlich
tour guide;Reiseführer (m., --)
drawing board;Reißbrett (n., -er)
rip, tear;reißen
tear, rip;reißen (reißt, riß, gerissen)
monopolize, usurp, seize upon;reißen, etwas an sich
ride (horse);reiten (reitet, ritt, geriten)
irritate, annoy, provoke, tempt, arouse;reizen
lovely, charming, fetching;reizend
advertisement, promotion;Reklame (f., -n)
relatively;relativ
jostle, push;rempeln
rate of return, yield;Rendite (f.)
run, race;rennen (rennt, rannte, gerannt)
renowned, famous, noted;renommiert
profitable, cost-efficient;rentabel
profitability, efficiency;Rentabilität (f.)
pension;Rente (f., -n)
be profitable, be worthwhile;rentieren
reservation;Reservierung (f., -en)
restructure;restrukturieren
restructuring (n.);Restrukturierung (f., -en)
rescue, save;retten
repentance, remorse;Reue (f.)
review, critique;rezensieren
collect call;R-Gespräch (n., -e)
rhythm, cadence;Rhythmus (m.)
direct, point at, prepare;richten
right, correct;richtig
target or standard price;Richtpreis (m.)
smell;riechen (riecht, roch, gerochen)
giant (n.);Riese (m., -n)
reef, ledge;Riff (n.)
wrestle, struggle, wring;ringen (ringt, rang, gerungen)
wrestling match, wrestling;Ringkampf (m., ¨-e)
all around;rings
flow, drip;rinnen (rinnt, rann, geronnen)
risk (n.);Risiko (n., -ken)
risk (v.);riskieren
ride (n.);Ritt (m.)
knight;Ritter (m., --)
rival;Rivale (m., -n)
rugged, tough, sturdy;robust
raw, uncooked;roh
rawhide;Rohleder (n.)
blank CD or tape, slug, ruffian;Rohling (m., -e)
raw material;Rohstoff (m., -e)
novel;Roman (m., -e)
rust, oxidize;rosten
roast, saute;rösten
rusty;rostig
hindsight;Rückblick (m., -e)
move, shift;rücken
downturn, drop, decline, recession;Rückgang (m., ¨-e)
return (n.);Rückkehr (f.)
return;rückkehren
depressed (econ.), regressive, declining;rückläufig
setback (n.);Rückschlag (m., ¨-e)
backside;Rückseite (f., -n)
resignation, retirement;Rücktritt (m.)
refund;Rückvergutung (f., -en)
backwards;rückwärts
row, scull, oar;rudern
call, shout;rufen (ruft, rief, gerufen)
reprimand;rüffeln
reprimand, reprove, rebuke;rügen
retire;Ruhe (sich zur Ruhe setzen)
day off;Ruhetag (m., ¨-e)
calm, composed;ruhig
stardom, fame, renown;Ruhm (m.)
glorify, praise, extol;rühmen
glorious;rühmlich
stir, touch, move;rühren
touching, moving, stirring;rührend
fuselage, hull, body;Rumpf (m., ¨-e)
panorama;Rundblick (m.)
tour, patrol, circuit;Rundgang (m., ¨-e)
tour;Rundreise (f., -n)
furrow, frown, wrinkle, knit (one's brow);runzeln
sooty;rußig
mobilize, prepare, arm;rüsten
slip, slide, glide, skid;rutschen
shake, joggle;rütteln
seed, sowing (n.);Saat (f., -en)
relevant, pertinent;sachdienlich
thing;Sache (f., -n)
objective, realistic;sachlich
dead end, impasse;Sackgasse (f., -n)
sow, seed;säen
lush, succulent, sappy, juicy, luscious;saftig
legendary, fabulous, phenomenal;sagenhaft
chord, string;Saite (f., -n)
collect, assemble, meet;sammeln
rallying, connecting;sammelnd
collectible, collector's item;Sammlerstück (n, -e)
the whole lot;samt und sonders
complete, all;sämtlich
soft, gentle;sanft
restructure, rehabilitate, reorganize;sanieren
sanitation;sanitäre Einrichtungen (pl.)
coffin, casket;Sarg (m., ¨-e)
clean, cleanse;säubern
drink (animals);saufen (säuft, soff, gesoffen)
suck, absorb;saugen (saugt, sog, gesogen)
mammal;Säugetier (n., -e)
column, pillar;Säule (f., -n)
seam, hem;Saum (m., ¨-e)
hem, line, skirt;säumen
rush, dash;sausen
hoax, practical joke;Schabernack (m., -e)
skull, cranium;Schädel (m., --)
damage, injure, harm;schaden
damages (compensatory), indemnity;Schadenersatz (m.)
harmful, destructive;schädlich
create;schaffen (schafft, schuf, geschaffen)
conductor, guard;Schaffner (m., --)
joke around, flirt;schäkern
insipid, flat, stale;schal
container, bowl, shell, rind;Schale (f., -n)
peel, shell (v.);schälen
peal, sound, ring;schallen
peals or roar of laughter;schallendes Gelächter
switch, change gears;schalten
switch, desk, counter;Schalter (m., --)
be ashamed of;schämen sich
scandal, disgrace, shame;Schande (f., -n)
blot, blemish, eyesore;Schandfleck (m., -e)
troop, band, flock, host;Schar (f., -en)
sharp, acute, piercing;scharf
scarlet red;scharlachrot
